mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
46.9,4,278.1,48,4964,13.4,78,1,car_44
42.2,8,371.5,121,1884,21.4,78,1,car_45
11.5,4,83.7,49,4892,10.5,80,2,car_46
45.8,8,215.9,?,4392,21.3,78,3,car_47
46.6,6,418.5,183,4995,24.3,82,2,car_48
32.1,4,397.5,51,2851,16.5,74,2,car_49
11.5,5,432.9,144,1868,10.8,72,1,car_50
19.9,5,89.5,55,3627,23.0,79,3,car_51
12.1,4,381.6,55,3196,15.7,71,2,car_52
38.6,3,80.6,79,2044,19.8,80,2,car_53
16.4,6,111.0,225,4129,18.6,75,3,car_54
13.7,8,182.7,?,3738,22.5,73,1,car_55
38.7,6,211.8,?,1795,23.2,70,2,car_56
18.7,3,433.6,216,2553,9.6,80,3,car_57
35.5,6,264.3,155,1957,23.7,76,1,car_58
12.8,4,352.2,156,1736,16.3,75,3,car_59
18.6,5,95.2,223,3037,11.0,73,2,car_60
11.7,4,148.5,?,4676,8.1,75,3,car_61
9.9,8,158.1,?,3565,13.8,74,1,car_62
10.1,4,208.2,120,2366,18.0,71,1,car_63
29.3,5,128.5,78,3695,12.1,82,1,car_64
20.1,6,324.7,51,1932,19.8,72,2,car_65
20.4,6,354.7,197,4222,14.0,73,2,car_66
33.0,8,90.4,48,3420,11.4,74,2,car_67
12.5,4,376.3,116,4872,19.8,76,1,car_68
38.2,6,135.6,162,3068,15.8,80,1,car_69
27.4,4,182.1,204,1644,11.7,71,3,car_70
20.4,8,128.5,69,4726,24.1,78,2,car_71
19.6,3,114.8,56,3244,16.8,79,3,car_72
24.1,3,356.9,136,4051,9.4,71,2,car_73
20.6,5,113.7,63,5139,12.9,78,1,car_74
30.8,4,273.6,185,4649,21.1,82,2,car_75
20.1,5,287.9,?,3175,14.7,77,1,car_76
30.3,5,205.0,101,3615,19.7,75,2,car_77
33.8,3,239.8,82,1717,14.0,76,1,car_78
41.2,3,333.8,217,1639,14.1,71,3,car_79
9.1,5,405.9,225,4691,17.6,73,1,car_80
25.5,5,216.7,211,2219,15.5,81,1,car_81
28.9,4,148.8,135,3363,21.6,76,3,car_82
17.4,4,238.0,?,3203,8.6,80,1,car_83
42.1,5,90.1,209,4114,13.0,71,3,car_84
42.0,5,366.5,?,4201,19.7,80,3,car_85
45.3,6,292.8,226,2495,13.7,70,1,car_86
11.0,5,69.5,?,4835,15.2,73,3,car_87
24.1,4,243.6,?,4868,13.4,78,2,car_88
43.0,5,79.2,?,2471,22.6,75,1,car_89
40.8,5,328.3,178,2656,16.1,81,1,car_90
10.7,8,96.0,?,4926,14.9,77,2,car_91
25.7,3,99.5,71,3417,18.3,76,3,car_92
37.7,6,83.2,92,2137,22.1,74,2,car_93
21.1,6,109.5,119,4525,13.0,77,3,car_94
32.0,8,313.5,?,4131,21.2,71,1,car_95
36.8,4,152.4,183,5131,8.8,76,3,car_96
19.4,8,206.9,229,2520,20.4,73,1,car_97
28.7,5,158.4,206,2175,21.6,78,3,car_98
21.5,8,313.7,79,3703,24.7,72,1,car_99
38.7,6,288.4,224,4956,11.9,76,2,car_100
32.1,4,311.4,203,3616,15.7,70,1,car_101
30.1,4,323.7,169,4497,22.2,74,1,car_102
32.0,4,386.0,120,1769,13.3,81,1,car_103
22.0,6,326.7,214,3022,19.3,74,1,car_104
22.5,8,90.5,?,3624,18.5,70,1,car_105
10.7,4,433.9,63,4332,15.1,73,2,car_106
25.5,5,188.7,150,1652,14.9,74,3,car_107
29.2,6,361.8,150,2314,8.1,72,3,car_108
42.0,8,393.1,83,2585,22.1,72,1,car_109
44.9,4,355.5,?,3362,23.6,79,1,car_110
32.6,6,342.8,200,3006,21.5,81,2,car_111
10.0,3,260.1,137,3489,12.0,75,1,car_112
36.9,6,198.7,146,3785,23.1,78,2,car_113
46.1,8,288.8,55,3231,20.1,76,2,car_114
27.8,3,173.7,111,4423,20.8,82,3,car_115
28.6,6,446.7,99,4909,24.3,73,3,car_116
34.6,8,331.7,87,5079,20.6,70,3,car_117
40.0,8,128.4,138,2936,16.3,76,3,car_118
25.4,4,68.4,57,2128,13.7,70,3,car_119
27.3,5,357.2,186,2754,24.0,72,3,car_120
15.5,4,292.3,185,4704,15.3,74,2,car_121
9.5,5,434.2,180,3014,11.2,82,2,car_122
39.1,3,358.3,225,3091,15.8,70,3,car_123
43.7,8,377.0,104,4399,11.3,75,3,car_124
35.6,3,350.9,192,2371,23.9,76,1,car_125
30.8,4,355.9,?,2384,10.8,71,2,car_126
33.1,5,165.8,?,2870,8.5,70,2,car_127
16.7,6,217.6,218,4468,22.8,70,3,car_128
26.7,8,117.1,?,3243,16.0,78,1,car_129
10.6,8,402.7,138,4551,9.9,78,2,car_130
10.6,3,189.8,116,4360,10.4,72,2,car_131
41.9,8,91.2,?,4602,21.8,70,3,car_132
35.3,6,435.5,?,3905,10.9,74,1,car_133
39.4,5,339.1,178,2248,20.7,77,3,car_134
14.8,8,136.5,?,2403,18.9,77,3,car_135
18.1,6,270.1,227,3564,21.0,70,3,car_136
12.1,8,200.9,72,3948,15.6,76,3,car_137
22.8,3,120.7,?,2996,22.9,73,1,car_138
24.7,3,338.5,145,3078,23.4,71,2,car_139
11.1,5,301.8,111,3917,22.3,77,2,car_140
15.9,6,378.5,145,2007,10.1,75,1,car_141
15.7,8,335.3,162,3564,9.4,70,3,car_142
41.8,5,78.8,70,3081,24.0,77,1,car_143
14.9,8,310.1,46,2996,10.6,78,3,car_144
14.6,4,369.6,86,4171,13.5,70,2,car_145
45.4,6,85.1,208,2309,24.2,75,1,car_146
15.2,6,247.1,?,2277,23.6,70,3,car_147
23.8,4,455.0,?,1769,8.8,71,3,car_148
32.2,4,328.7,153,3939,23.4,75,3,car_149
18.4,4,208.9,?,2144,14.9,80,2,car_150
45.7,6,414.6,108,3230,12.0,77,2,car_151
44.0,3,391.4,?,4087,18.3,77,1,car_152
19.5,8,192.4,?,2203,20.0,70,2,car_153
36.8,6,235.6,163,2274,10.8,77,2,car_154
15.0,5,362.8,74,4187,14.0,77,3,car_155
28.7,3,143.7,91,2825,14.4,70,2,car_156
30.0,3,332.0,142,2162,10.2,79,2,car_157
15.3,6,291.2,?,4798,15.1,81,3,car_158
14.3,4,148.3,104,4967,16.3,79,3,car_159
19.9,5,332.8,113,4185,16.4,75,3,car_160
35.4,6,449.0,106,3032,14.6,77,3,car_161
20.6,6,453.4,71,1633,17.8,80,3,car_162
46.3,8,109.3,?,2705,19.6,79,1,car_163
23.3,3,72.1,230,2055,19.4,75,3,car_164
35.5,6,382.3,?,4810,22.4,72,1,car_165
40.4,4,408.0,178,3407,19.9,76,2,car_166
9.8,4,423.9,?,3149,23.6,71,3,car_167
31.4,5,158.2,?,2713,22.0,77,3,car_168
33.5,6,170.7,104,2851,22.3,72,2,car_169
11.6,3,253.0,?,2700,16.1,71,2,car_170
14.4,3,121.7,60,1641,8.6,76,3,car_171
35.6,8,257.8,73,4807,13.8,71,3,car_172
9.2,4,260.6,?,3643,14.0,78,2,car_173
12.5,5,290.0,103,2561,12.8,73,3,car_174
38.5,5,177.5,76,3067,16.4,77,1,car_175
33.9,5,312.6,156,3254,20.9,81,2,car_176
41.9,6,417.7,160,2610,20.5,75,2,car_177
17.7,6,445.4,164,4380,14.7,74,2,car_178
17.8,8,332.7,127,2544,21.8,76,1,car_179
30.9,3,225.3,113,2076,11.0,81,2,car_180
10.1,3,71.1,?,4977,18.2,73,1,car_181
37.2,4,396.1,?,3812,11.0,73,1,car_182
44.3,6,251.7,99,4747,8.7,74,1,car_183
31.1,5,388.1,219,4053,16.7,74,1,car_184
36.2,5,77.3,82,3165,11.5,80,2,car_185
16.7,8,261.6,223,2123,16.6,77,2,car_186
15.8,8,199.5,?,3927,16.5,73,2,car_187
18.4,6,368.0,?,3875,14.8,82,2,car_188
17.5,4,166.0,104,2774,14.0,77,3,car_189
44.4,4,443.0,179,2841,23.7,80,3,car_190
13.7,3,128.0,55,4749,23.1,76,3,car_191
16.1,6,142.3,146,4578,13.5,78,3,car_192
36.1,8,293.5,222,4329,17.6,73,3,car_193
25.8,4,256.8,200,1615,8.7,72,1,car_194
25.8,8,154.7,178,4257,18.7,74,3,car_195
21.8,4,131.2,229,3213,15.4,80,2,car_196
41.1,6,94.1,85,3513,19.9,73,2,car_197
35.8,3,225.2,195,3828,11.5,70,3,car_198
14.2,6,187.4,?,4090,24.3,77,1,car_199
16.8,8,361.0,125,4127,24.3,70,3,car_200
41.8,8,210.2,74,2753,22.8,73,2,car_201
23.6,8,426.9,?,1793,10.6,80,3,car_202
30.4,3,437.7,168,3192,20.2,70,1,car_203
25.5,4,362.8,226,2628,8.5,74,2,car_204
23.6,5,180.9,?,3000,16.7,70,1,car_205
43.5,3,314.6,130,2019,18.3,76,1,car_206
18.6,3,269.5,?,3743,22.1,73,2,car_207
12.7,4,453.3,104,2437,18.2,81,2,car_208
22.2,5,346.9,135,3520,21.9,72,2,car_209
30.3,3,100.2,124,1756,9.4,70,2,car_210
39.5,4,343.5,177,3452,9.5,78,3,car_211
40.6,3,99.1,128,2600,18.6,80,3,car_212
19.9,3,391.3,114,2911,24.4,80,2,car_213
10.8,4,396.7,178,4058,8.9,76,2,car_214
19.7,4,166.1,171,4514,10.1,75,1,car_215
28.8,4,341.3,168,1945,13.2,72,1,car_216
45.5,3,413.8,?,3772,12.1,74,2,car_217
24.4,6,337.9,88,2442,12.2,73,2,car_218
39.0,4,281.5,110,2565,22.5,81,2,car_219
44.2,4,162.2,189,4664,12.2,82,2,car_220
39.3,3,347.4,97,3173,16.5,73,2,car_221
29.3,6,107.9,?,1656,24.2,73,3,car_222
24.0,5,449.1,215,4587,9.3,82,1,car_223
31.3,4,400.0,63,2632,15.6,82,3,car_224
14.1,8,179.9,83,3116,21.9,74,3,car_225
33.4,5,119.7,201,3003,16.0,77,1,car_226
27.1,5,430.8,135,3234,17.7,81,3,car_227
20.3,8,394.4,156,3719,10.8,72,3,car_228
28.7,8,368.9,211,2673,15.3,77,3,car_229
29.0,4,442.7,?,2437,18.0,74,1,car_230
40.4,4,431.6,204,4109,21.6,70,3,car_231
46.7,3,76.0,106,4984,16.4,75,2,car_232
12.3,6,370.7,?,4045,16.9,75,3,car_233
16.9,6,144.2,93,4118,17.9,76,3,car_234
32.8,4,418.6,?,4260,18.9,72,3,car_235
12.2,5,196.4,?,3002,24.3,75,3,car_236
37.4,6,446.1,?,3491,21.5,72,1,car_237
28.5,8,344.6,201,4101,23.5,82,1,car_238
35.1,3,294.2,93,4424,20.2,80,2,car_239
19.0,3,313.9,?,1780,18.2,82,1,car_240
42.8,6,217.0,169,1961,19.8,80,3,car_241
37.5,4,86.8,58,2155,17.4,81,2,car_242
24.5,8,89.2,160,4251,11.5,72,1,car_243
30.9,5,171.7,?,4219,22.5,78,1,car_244
42.3,5,127.8,?,2973,8.1,75,1,car_245
21.6,3,101.3,110,4407,16.2,78,3,car_246
12.2,5,237.8,168,3737,9.2,73,1,car_247
33.5,8,189.3,?,3186,18.8,71,3,car_248
11.6,5,286.8,168,4035,21.7,81,3,car_249
43.4,6,266.3,55,4814,24.4,75,3,car_250
9.3,8,97.8,74,3848,8.4,78,1,car_251
46.0,8,206.8,92,3603,16.1,76,1,car_252
39.8,4,321.2,168,1791,20.8,77,3,car_253
34.0,4,390.4,221,2485,23.3,81,2,car_254
47.0,8,387.6,202,2904,17.7,76,3,car_255
38.2,4,266.3,140,2822,12.0,74,1,car_256
29.4,5,432.7,106,2932,12.1,82,2,car_257
29.9,8,340.7,160,2451,19.6,79,2,car_258
32.0,3,277.3,121,3709,11.4,76,2,car_259
36.8,3,142.3,87,1944,12.2,74,3,car_260
27.5,5,396.4,?,2084,23.0,75,1,car_261
38.0,8,346.7,186,5105,23.4,75,1,car_262
44.9,3,349.0,?,5113,19.1,78,2,car_263
45.3,8,452.9,?,4843,9.6,81,2,car_264
12.5,8,404.8,227,2750,13.0,72,3,car_265
45.1,4,118.3,112,2208,20.3,74,1,car_266
12.0,6,445.0,?,3052,17.0,77,3,car_267
13.8,5,99.6,225,4856,18.1,73,1,car_268
43.0,4,354.5,218,2208,16.1,70,3,car_269
21.1,4,327.2,216,2560,23.8,80,3,car_270
19.5,4,106.8,115,2505,12.8,76,1,car_271
15.7,3,437.3,212,4544,22.6,77,1,car_272
25.1,8,143.5,113,2952,14.3,70,2,car_273
40.7,6,352.7,144,4300,8.6,79,2,car_274
28.6,8,450.6,98,1972,9.6,76,1,car_275
28.3,6,358.0,88,2598,9.6,76,2,car_276
11.6,8,150.3,?,2397,23.5,71,3,car_277
13.9,4,280.9,204,4073,14.6,80,2,car_278
34.6,6,315.7,53,4762,21.2,81,3,car_279
10.3,4,238.5,?,2200,12.0,77,1,car_280
32.0,5,219.8,216,4360,9.5,71,2,car_281
23.1,8,321.1,104,5122,8.3,74,1,car_282
28.7,5,354.1,75,2924,19.5,71,2,car_283
43.3,4,145.5,224,4279,20.2,76,2,car_284
10.3,6,97.8,207,5013,18.1,75,1,car_285
31.2,8,234.2,100,3421,23.4,78,2,car_286
44.6,3,183.7,192,4264,23.6,71,2,car_287
18.3,3,79.7,?,3520,21.8,81,3,car_288
18.8,8,374.9,?,4393,21.8,81,3,car_289
15.1,6,319.6,206,2200,19.9,80,1,car_290
41.8,4,396.3,?,2045,12.7,74,3,car_291
26.8,5,291.8,56,5002,24.4,70,2,car_292
21.6,6,219.1,51,2482,21.0,79,3,car_293
14.5,8,150.4,110,3981,16.7,72,3,car_294
21.6,8,321.8,?,3436,18.9,74,1,car_295
39.4,5,417.6,124,3455,8.4,80,2,car_296
11.0,5,265.5,154,2269,22.1,74,1,car_297
40.9,5,144.6,177,2156,18.2,74,1,car_298
35.4,4,199.1,?,3399,13.2,79,3,car_299
44.0,5,226.8,78,3077,20.8,77,2,car_300
15.6,5,233.5,?,1972,17.4,77,1,car_301
12.7,8,400.3,144,3223,18.7,71,2,car_302
11.2,5,300.5,?,3898,19.2,75,1,car_303
45.8,3,104.1,132,3146,22.8,79,2,car_304
18.9,4,430.8,?,2051,13.5,73,2,car_305
29.7,8,369.2,72,4646,9.0,71,3,car_306
15.3,4,132.1,88,4499,22.0,70,3,car_307
23.4,3,106.9,67,2663,20.2,73,2,car_308
33.5,8,284.6,?,4025,15.1,79,1,car_309
19.8,8,189.5,165,3024,12.6,72,1,car_310
42.4,6,193.2,141,4380,12.2,71,2,car_311
36.7,4,144.5,225,3872,10.2,77,2,car_312
42.9,6,210.3,?,3621,24.7,80,1,car_313
36.3,8,224.7,66,1706,17.1,81,3,car_314
22.0,3,144.5,153,1875,24.5,71,2,car_315
23.4,6,215.4,211,2772,16.1,76,3,car_316
9.0,6,313.8,85,4376,21.9,76,3,car_317
43.9,8,347.3,166,2858,15.0,79,3,car_318
38.4,5,82.4,?,4405,11.8,75,1,car_319
23.3,8,199.1,?,2338,23.8,70,1,car_320
33.7,4,71.8,157,2348,12.9,77,2,car_321
45.4,3,129.7,?,3552,21.7,74,3,car_322
39.3,5,219.4,130,1890,9.0,80,3,car_323
40.5,4,427.9,162,3159,22.7,76,1,car_324
10.6,3,210.7,?,1748,18.5,72,3,car_325
42.0,6,319.3,195,4871,9.7,81,1,car_326
32.1,3,146.1,?,2084,16.0,77,3,car_327
36.6,4,276.9,81,1943,18.5,70,3,car_328
42.4,4,104.5,141,3913,19.7,78,2,car_329
43.5,4,287.0,200,5093,21.1,75,3,car_330
19.8,5,263.6,51,2668,20.4,81,1,car_331
33.8,4,140.1,171,2741,24.2,72,1,car_332
15.5,5,382.7,?,3667,21.3,72,3,car_333
18.5,4,313.7,204,3057,21.4,82,1,car_334
45.4,6,283.7,54,3227,8.6,82,2,car_335
29.4,4,424.0,114,4269,15.0,82,3,car_336
19.1,4,166.1,180,3650,11.3,79,3,car_337
31.5,6,178.4,219,1634,8.5,79,1,car_338
21.5,6,158.6,186,3472,22.7,80,2,car_339
31.5,5,440.9,?,3328,14.1,77,1,car_340
36.4,6,363.7,94,3306,20.7,72,1,car_341
34.8,6,454.8,210,1871,19.8,72,3,car_342
9.1,4,106.2,91,2664,16.8,80,2,car_343
21.2,6,257.8,110,2665,12.2,74,2,car_344
32.1,3,261.5,211,3341,12.6,80,2,car_345
36.5,3,228.4,?,1733,16.3,82,2,car_346
45.0,5,280.6,188,3981,11.1,79,1,car_347
32.1,4,187.1,63,4841,18.2,80,1,car_348
46.4,6,190.2,85,4818,24.1,74,2,car_349
22.0,8,347.9,57,3226,21.7,80,3,car_350
12.7,4,263.0,83,1794,8.5,77,1,car_351
30.8,3,121.9,190,1944,13.1,72,2,car_352
43.7,3,195.6,?,2868,19.0,79,2,car_353
15.9,3,322.3,167,1987,15.0,74,2,car_354
25.4,6,411.2,98,4185,21.0,74,1,car_355
39.8,6,192.6,120,2277,15.7,72,3,car_356
21.9,4,260.4,196,4599,13.3,71,3,car_357
21.0,5,429.9,?,3164,13.4,75,2,car_358
21.7,3,141.2,212,2308,22.2,72,2,car_359
45.4,3,343.9,?,3164,20.5,76,2,car_360
27.4,4,341.6,?,5032,14.8,71,2,car_361
12.1,8,106.6,90,4491,12.5,75,3,car_362
15.6,6,169.0,91,4223,16.7,82,2,car_363
34.7,6,404.3,130,4877,21.3,74,2,car_364
39.7,4,203.1,?,2127,23.4,77,2,car_365
12.8,4,114.9,97,4317,16.3,75,3,car_366
46.0,6,416.8,?,4164,19.5,72,2,car_367
16.4,8,342.4,74,2062,8.8,78,3,car_368
30.3,8,279.5,142,4104,21.4,73,2,car_369
46.7,4,269.1,?,1957,17.4,70,1,car_370
38.1,3,89.3,?,4378,8.8,73,3,car_371
15.7,5,437.8,181,3328,11.5,81,1,car_372
31.7,4,288.2,160,4789,11.4,79,3,car_373
13.9,5,358.4,133,3624,13.5,74,3,car_374
42.1,6,374.3,148,3266,24.7,82,2,car_375
44.3,3,150.8,122,3368,20.4,80,1,car_376
43.9,4,252.7,?,2721,16.4,78,1,car_377
31.3,4,323.9,109,2365,10.0,70,3,car_378
10.5,3,373.5,70,3918,11.5,75,2,car_379
12.8,6,257.0,131,4100,11.8,79,3,car_380
25.9,5,104.9,153,2341,23.5,74,2,car_381
39.1,5,133.5,?,4703,9.5,70,1,car_382
16.2,6,410.4,?,2957,9.1,79,2,car_383
20.3,6,405.2,61,1980,17.4,77,1,car_384
39.1,8,310.1,188,4398,20.5,81,1,car_385
39.1,5,249.2,52,4935,9.9,82,2,car_386
21.5,8,128.2,47,2248,15.0,70,2,car_387
41.4,8,380.4,153,4951,23.5,80,1,car_388
43.5,5,119.2,189,4944,9.4,73,1,car_389
16.7,4,78.7,130,4029,12.2,78,3,car_390
45.9,3,188.6,103,1673,16.8,79,3,car_391
24.0,5,151.0,190,2338,20.2,74,1,car_392
39.7,3,204.4,85,4524,24.8,72,2,car_393
10.1,3,386.6,?,4384,17.6,78,1,car_394
17.2,6,449.3,229,4932,23.1,82,3,car_395
31.4,3,406.3,?,3634,9.2,80,1,car_396
